px_0,px_1,px_2,px_3,px_4,px_5,px_6,px_7,px_8,px_9,px_10,px_11,px_12,px_13,px_14,px_15,px_16,px_17,px_18,px_19,px_20,px_21,px_22,px_23,px_24,px_25,px_26,px_27,px_28,px_29,px_30,px_31,px_32,px_33,px_34,px_35,mask_0,mask_1,mask_2,mask_3,mask_4,mask_5,mask_6,mask_7,mask_8,mask_9,mask_10,mask_11,mask_12,mask_13,mask_14,mask_15,mask_16,mask_17,mask_18,mask_19,mask_20,mask_21,mask_22,mask_23,mask_24,mask_25,mask_26,mask_27,mask_28,mask_29,mask_30,mask_31,mask_32,mask_33,mask_34,mask_35,posture_meta
0.937,0.0,0.0,0.939,0.88,0.0,0.783,0.894,0.834,0.486,0.875,0.767,0.263,0.5,0.73,0.829,0.962,0.328,0.0,0.674,0.711,0.768,0.879,0.0,1.125,0.769,0.892,0.75,1.07,0.781,0.837,0.426,0.912,1.048,0.741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal
0.993,0.547,0.0,1.01,0.905,0.0,1.13,0.925,0.66,0.477,1.075,0.833,0.474,0.706,0.857,0.886,1.038,0.711,0.0,0.689,0.781,0.842,0.934,0.118,1.212,0.892,0.908,2.75,1.107,0.832,0.894,0.574,0.953,1.214,0.427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal
0.937,0.665,0.0,0.939,0.885,0.0,0.783,0.894,0.011,0.509,0.85,0.708,0.263,0.471,0.746,0.81,0.95,0.398,0.0,0.686,0.75,0.789,0.896,0.0,1.112,0.754,0.692,0.75,1.07,0.781,0.858,0.404,0.905,0.929,0.555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal
1.091,0.606,0.0,0.364,0.29,0.0,2.304,1.145,1.03,0.0,0.3,0.0,0.184,1.0,1.127,0.762,0.087,0.0,0.415,0.982,1.0,0.758,0.033,0.0,1.687,1.123,1.031,0.0,0.0,0.0,1.057,1.106,0.946,0.595,0.384,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,front
0.0,0.0,0.0,0.778,0.0,0.0,0.0,0.696,0.724,0.74,0.7,0.0,0.0,0.0,0.81,0.971,0.913,0.586,0.354,0.616,0.0,0.642,0.835,0.529,1.237,0.769,0.815,2.0,1.074,0.81,0.922,0.489,0.966,1.262,0.991,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,left
1.0,0.0,0.0,1.02,0.915,0.0,1.174,0.93,0.481,0.507,1.075,0.875,0.474,0.735,0.873,0.886,1.062,0.25,0.0,0.695,0.773,0.884,0.951,0.471,1.212,0.877,1.0,2.75,1.107,0.839,0.872,0.574,0.966,1.238,0.732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal
1.091,0.675,0.005,0.283,0.295,0.0,2.174,1.101,0.903,0.0,0.3,0.0,0.237,1.029,1.317,1.01,0.463,0.055,0.415,0.982,0.992,0.758,0.033,0.0,1.312,0.831,1.031,0.0,0.0,0.0,0.851,0.66,1.041,0.905,0.415,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,front
0.986,0.0,0.0,1.02,0.92,0.0,1.174,0.925,0.541,0.494,1.075,0.858,0.447,0.706,0.857,0.876,1.05,0.07,0.0,0.698,0.789,0.874,0.962,0.0,1.212,0.892,0.985,3.0,1.111,0.854,0.901,0.596,0.973,1.238,0.808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal
0.93,0.0,0.0,0.99,0.915,0.0,1.13,0.982,0.967,0.673,1.125,0.808,1.158,1.088,1.063,1.105,1.138,0.922,0.631,0.589,0.648,0.874,0.907,0.0,0.613,0.677,1.077,4.5,0.988,0.737,0.0,0.0,0.905,0.476,0.482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,right
0.0,0.0,0.0,0.758,0.0,0.0,0.0,0.841,0.854,0.774,0.7,0.075,0.0,0.0,0.825,0.971,0.913,0.594,0.2,0.595,0.0,0.642,0.901,0.529,1.325,0.892,0.985,4.25,1.111,0.869,0.986,0.638,1.02,1.452,1.021,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,left
