s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,s34,s35,s36,label
0.937,0.0,0.0,0.929,0.88,0.0,0.783,0.89,0.826,0.49,0.875,0.767,0.368,0.618,0.81,0.867,1.013,0.203,0.277,0.692,0.781,0.853,0.956,0.0,1.212,0.892,0.985,2.75,1.103,0.832,0.887,0.574,0.966,1.238,0.768,0.0,normal
0.937,0.0,0.0,0.929,0.88,0.0,0.826,0.894,0.669,0.493,0.875,0.758,0.263,0.471,0.73,0.819,0.95,0.43,0.2,0.668,0.711,0.768,0.918,0.0,1.112,0.785,0.877,0.75,1.07,0.774,0.83,0.426,0.905,1.048,0.75,0.0,normal
0.986,0.0,0.0,1.01,0.92,0.0,1.174,0.93,0.691,0.494,1.075,0.817,0.474,0.706,0.857,0.895,1.05,0.0,0.354,0.692,0.773,0.853,0.956,0.0,1.212,0.892,1.0,2.75,1.103,0.832,0.887,0.596,0.959,1.238,0.771,0.0,normal
0.937,0.0,0.0,0.929,0.88,0.0,0.783,0.894,0.682,0.49,0.875,0.758,0.263,0.5,0.73,0.819,0.95,0.203,0.262,0.671,0.711,0.779,0.912,0.0,1.112,0.785,0.877,0.75,1.07,0.781,0.83,0.426,0.905,1.048,0.747,0.0,normal
0.937,0.0,0.0,0.929,0.88,0.0,0.783,0.894,0.657,0.487,0.875,0.75,0.263,0.471,0.73,0.819,0.95,0.148,0.262,0.671,0.703,0.768,0.912,0.0,1.112,0.785,0.862,0.75,1.07,0.781,0.844,0.426,0.905,1.071,0.732,0.0,normal
0.937,0.0,0.0,0.929,0.885,0.0,0.826,0.894,0.58,0.487,0.875,0.758,0.289,0.5,0.73,0.829,0.95,0.141,0.262,0.671,0.711,0.768,0.912,0.0,1.125,0.785,0.877,0.75,1.07,0.781,0.837,0.426,0.905,1.071,0.729,0.0,normal
0.993,0.0,0.0,1.03,0.915,0.0,0.826,0.894,0.566,0.483,0.875,0.775,0.263,0.5,0.73,0.819,0.95,0.125,0.262,0.671,0.703,0.768,0.901,0.0,1.112,0.785,0.892,0.75,1.07,0.781,0.83,0.426,0.905,1.071,0.735,0.0,normal
0.993,0.0,0.0,1.02,0.92,0.0,1.174,0.934,0.575,0.493,1.1,0.842,0.474,0.765,0.873,0.905,1.062,0.25,0.415,0.698,0.789,0.905,1.016,0.0,1.212,0.892,1.015,2.75,1.103,0.832,0.887,0.596,0.966,1.238,0.759,0.0,normal
0.937,0.0,0.0,0.939,0.88,0.0,0.783,0.894,0.834,0.486,0.875,0.767,0.263,0.5,0.73,0.829,0.962,0.328,0.0,0.674,0.711,0.768,0.879,0.0,1.125,0.769,0.892,0.75,1.07,0.781,0.837,0.426,0.912,1.048,0.741,0.0,normal
0.993,0.0,0.0,1.02,0.92,0.0,0.826,0.899,0.738,0.49,0.875,0.742,0.263,0.471,0.73,0.829,0.962,0.18,0.077,0.671,0.719,0.779,0.896,0.0,1.125,0.785,0.892,0.75,1.07,0.781,0.83,0.426,0.912,1.048,0.741,0.0,normal
1.014,0.0,0.0,1.02,0.925,0.0,1.13,0.93,0.914,0.494,1.075,0.683,0.474,0.735,0.857,0.895,1.062,0.32,0.4,0.689,0.789,0.863,0.951,0.0,1.212,0.908,1.015,3.0,1.107,0.839,0.901,0.574,0.966,1.238,0.765,0.0,normal
0.993,0.0,0.0,1.01,0.92,0.0,1.087,0.93,0.914,0.484,1.2,0.775,0.474,0.735,0.873,0.905,1.075,0.453,0.477,0.689,0.773,0.853,0.951,0.0,1.212,0.892,1.0,2.75,1.103,0.839,0.901,0.574,0.959,1.238,0.765,0.0,normal
0.937,0.0,0.0,0.939,0.88,0.0,0.783,0.894,0.873,0.491,0.875,0.733,0.263,0.471,0.73,0.81,0.95,0.406,0.338,0.665,0.719,0.779,0.912,0.0,1.112,0.769,0.892,0.75,1.07,0.781,0.844,0.426,0.912,1.048,0.744,0.0,normal
0.937,0.0,0.0,0.939,0.88,0.0,0.783,0.894,0.848,0.49,0.875,0.75,0.263,0.5,0.73,0.819,0.95,0.164,0.369,0.674,0.75,0.821,0.934,0.0,1.225,0.892,1.015,3.0,1.103,0.847,0.901,0.596,0.959,1.238,0.753,0.0,normal
0.937,0.0,0.0,0.929,0.88,0.0,0.783,0.894,0.876,0.491,0.875,0.75,0.263,0.5,0.73,0.81,0.962,0.289,0.354,0.665,0.719,0.779,0.912,0.0,1.125,0.769,0.892,0.75,1.07,0.781,0.844,0.426,0.912,1.048,0.738,0.0,normal
0.937,0.0,0.0,0.929,0.88,0.0,0.783,0.894,0.865,0.491,0.875,0.75,0.263,0.471,0.73,0.81,0.962,0.484,0.338,0.671,0.727,0.779,0.912,0.0,1.112,0.769,0.892,1.0,1.07,0.788,0.844,0.426,0.912,1.048,0.744,0.0,normal
0.993,0.0,0.0,1.02,0.92,0.0,0.783,0.899,0.856,0.49,0.875,0.75,0.263,0.471,0.73,0.81,0.95,0.492,0.323,0.671,0.727,0.779,0.907,0.0,1.112,0.769,0.877,0.75,1.07,0.781,0.844,0.404,0.912,1.048,0.741,0.0,normal
0.993,0.0,0.0,1.02,0.92,0.0,1.13,0.934,0.771,0.493,1.125,0.833,0.474,0.735,0.873,0.895,1.075,0.586,0.446,0.695,0.812,0.905,0.973,0.0,1.225,0.892,1.0,3.0,1.103,0.839,0.908,0.596,0.966,1.238,0.75,0.0,normal
0.937,0.0,0.0,0.939,0.88,0.0,0.783,0.894,0.704,0.491,0.875,0.767,0.289,0.471,0.73,0.819,0.962,0.352,0.338,0.674,0.727,0.779,0.89,0.0,1.175,0.892,1.015,3.0,1.107,0.839,0.908,0.574,0.966,1.238,0.762,0.0,normal
0.937,0.0,0.0,0.939,0.88,0.0,0.783,0.894,0.655,0.487,0.85,0.733,0.289,0.471,0.73,0.819,0.962,0.336,0.338,0.674,0.727,0.779,0.896,0.0,1.125,0.769,0.862,1.0,1.07,0.781,0.837,0.404,0.912,1.048,0.735,0.0,normal
0.993,0.0,0.0,1.02,0.915,0.0,1.13,0.925,0.762,0.49,1.075,0.792,0.474,0.735,0.857,0.895,1.075,0.234,0.415,0.695,0.789,0.863,0.94,0.0,1.212,0.892,0.985,2.75,1.103,0.839,0.865,0.574,0.959,1.214,0.762,0.0,normal
