s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,s34,s35,s36,label
1.084,0.643,0.0,0.384,0.305,0.0,0.652,1.0,0.953,0.0,0.3,0.0,0.605,1.765,1.302,0.8,0.1,0.0,0.431,0.988,0.984,0.758,0.038,0.0,1.35,1.169,1.538,4.25,0.0,0.088,0.851,0.532,0.878,0.762,0.445,0.001,front
1.098,0.694,0.0,0.515,0.315,0.0,2.174,1.15,0.983,0.016,0.4,0.0,0.211,1.0,1.127,0.781,0.1,0.0,0.6,0.991,0.914,0.768,0.038,0.0,1.312,0.862,1.046,0.0,0.0,0.0,1.035,0.681,0.892,0.0,0.384,0.0,front
1.091,0.652,0.0,0.667,0.415,0.0,0.0,1.004,0.79,0.0,1.025,0.0,0.474,1.059,1.143,0.781,0.087,0.0,0.446,0.985,0.969,0.737,0.033,0.0,1.312,0.862,1.169,2.5,0.0,0.0,0.858,0.745,1.061,1.81,0.424,0.0,front
1.091,0.56,0.0,0.01,0.305,0.0,0.826,1.0,0.583,0.0,0.3,0.0,0.211,0.912,1.127,0.771,0.1,0.0,0.446,0.982,0.977,0.768,0.038,0.0,1.312,0.846,1.031,0.0,0.0,0.0,0.851,0.532,0.892,0.262,0.396,0.0,front
0.846,0.582,0.0,0.283,0.295,0.0,0.87,1.004,0.641,0.0,0.3,0.0,0.211,0.971,1.127,0.781,0.1,0.0,0.462,0.988,1.0,0.789,0.055,0.0,1.312,0.862,1.108,1.75,0.0,0.0,0.851,0.511,0.885,0.0,0.387,0.0,front
1.084,0.0,0.0,0.394,0.31,0.0,0.87,1.0,0.682,0.0,0.3,0.0,0.211,0.971,1.143,0.81,0.162,0.0,0.446,0.982,0.992,0.779,0.049,0.0,1.725,1.215,1.108,0.0,0.0,0.0,0.851,0.511,0.878,0.0,0.399,0.0,front
1.091,0.0,0.0,0.414,0.315,0.0,0.87,1.0,0.0,0.0,0.325,0.0,0.237,1.0,1.159,0.8,0.1,0.0,0.477,0.988,1.008,0.811,0.06,0.0,1.725,1.338,1.246,0.0,0.0,0.0,0.858,0.532,0.885,0.857,0.409,0.0,front
1.098,0.0,0.0,0.364,0.31,0.0,0.696,1.0,0.0,0.0,0.3,0.0,0.211,0.853,1.127,0.781,0.1,0.0,0.446,0.985,1.008,0.8,0.055,0.0,1.312,0.846,1.077,0.0,0.0,0.0,0.858,0.553,0.892,0.0,0.409,0.0,front
1.098,0.0,0.032,0.485,0.315,0.0,0.913,1.009,0.0,0.0,1.125,0.0,0.237,1.088,1.413,1.057,0.488,0.047,0.446,0.985,1.008,0.8,0.055,0.0,1.312,0.846,1.031,0.0,0.0,0.0,0.865,0.553,0.892,0.0,0.412,0.0,front
1.091,0.0,0.0,0.343,0.28,0.0,0.522,1.0,0.992,0.0,0.3,0.0,0.211,0.971,1.143,0.79,0.112,0.0,0.923,1.088,1.258,1.147,0.22,1.294,1.312,0.846,1.031,0.0,0.0,0.0,0.858,0.532,0.885,0.0,0.381,0.0,front
