s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,s34,s35,s36,label
0.0,0.0,0.0,0.869,0.0,0.0,0.0,0.639,0.837,0.754,0.9,0.058,0.0,0.147,0.937,1.048,1.013,0.641,0.354,0.607,0.0,0.642,0.868,0.588,1.237,0.769,0.938,2.25,1.074,0.81,0.922,0.468,0.966,1.262,0.994,0.0,left
0.0,0.0,0.0,0.798,0.0,0.0,0.0,0.674,0.754,0.743,0.7,0.0,0.0,0.0,0.81,0.962,0.913,0.586,0.338,0.607,0.0,0.632,0.863,0.529,1.237,0.769,0.938,2.25,1.074,0.81,0.915,0.468,0.966,1.262,0.994,0.0,left
0.0,0.0,0.0,0.889,0.0,0.0,0.0,0.7,0.718,0.75,0.9,0.05,0.0,0.147,0.937,1.038,1.013,0.641,0.462,0.631,0.0,0.705,0.896,1.0,1.337,0.877,1.062,4.25,1.107,0.869,0.95,0.638,1.014,1.452,1.018,0.0,left
0.0,0.0,0.0,0.909,0.0,0.0,0.0,0.692,0.76,0.753,0.9,0.05,0.0,0.176,0.952,1.048,1.025,0.648,0.446,0.634,0.0,0.789,0.912,1.0,1.337,0.892,1.062,4.0,1.107,0.869,0.965,0.638,1.014,1.452,1.018,0.0,left
0.0,0.0,0.0,0.879,0.0,0.0,0.0,0.661,0.785,0.751,0.9,0.05,0.0,0.147,0.921,1.038,1.013,0.641,0.446,0.634,0.0,0.705,0.89,1.0,1.325,0.877,1.062,4.0,1.107,0.869,0.965,0.638,1.014,1.429,1.018,0.0,left
0.0,0.0,0.0,0.879,0.0,0.0,0.0,0.683,0.738,0.751,0.875,0.05,0.0,0.147,0.937,1.038,1.013,0.641,0.446,0.634,0.0,0.705,0.89,1.0,1.325,0.877,1.062,4.0,1.103,0.869,0.957,0.638,1.014,1.452,1.018,0.0,left
0.0,0.0,0.0,0.798,0.0,0.0,0.0,0.656,0.724,0.744,0.7,0.0,0.0,0.0,0.81,0.962,0.913,0.586,0.338,0.613,0.0,0.621,0.852,0.529,1.237,0.769,0.938,2.0,1.074,0.81,0.908,0.468,0.959,1.262,0.994,0.0,left
0.0,0.0,0.0,0.798,0.0,0.0,0.0,0.692,0.721,0.744,0.7,0.0,0.0,0.0,0.81,0.962,0.913,0.586,0.338,0.613,0.0,0.621,0.846,0.529,1.237,0.769,0.938,2.0,1.074,0.81,0.915,0.468,0.959,1.262,0.994,0.0,left
0.0,0.0,0.0,0.899,0.0,0.0,0.0,0.692,0.757,0.751,0.9,0.05,0.053,0.206,0.952,1.048,1.025,0.648,0.477,0.637,0.0,0.716,0.89,1.059,1.337,0.892,1.077,4.25,1.107,0.869,0.972,0.638,1.014,1.429,1.018,0.0,left
0.0,0.0,0.0,0.889,0.0,0.0,0.0,0.855,0.633,0.747,0.9,0.05,0.0,0.176,0.968,1.19,1.038,0.656,0.477,0.637,0.0,0.726,0.896,1.059,1.337,0.892,1.062,4.25,1.103,0.869,0.965,0.66,1.02,1.452,1.018,0.0,left
0.0,0.0,0.0,0.838,0.0,0.0,0.0,0.718,0.729,0.741,0.9,0.042,0.0,0.176,0.937,1.048,1.013,0.648,0.462,0.634,0.0,0.716,0.885,1.0,1.337,0.892,1.077,4.25,1.107,0.861,0.972,0.681,1.02,1.452,1.018,0.0,left
0.0,0.0,0.0,0.838,0.0,0.0,0.0,0.718,0.729,0.741,0.9,0.042,0.0,0.176,0.937,1.048,1.013,0.648,0.462,0.634,0.0,0.716,0.885,1.0,1.337,0.892,1.077,4.25,1.107,0.861,0.972,0.681,1.02,1.452,1.018,0.0,left
0.0,0.0,0.0,0.838,0.0,0.0,0.0,0.718,0.729,0.741,0.9,0.042,0.0,0.176,0.937,1.048,1.013,0.648,0.462,0.634,0.0,0.716,0.885,1.0,1.337,0.892,1.077,4.25,1.107,0.861,0.972,0.681,1.02,1.452,1.018,0.0,left
0.0,0.0,0.0,0.838,0.0,0.0,0.0,0.718,0.729,0.741,0.9,0.042,0.0,0.176,0.937,1.048,1.013,0.648,0.462,0.634,0.0,0.716,0.885,1.0,1.337,0.892,1.077,4.25,1.107,0.861,0.972,0.681,1.02,1.452,1.018,0.0,left
0.0,0.0,0.0,0.838,0.0,0.0,0.0,0.718,0.729,0.741,0.9,0.042,0.0,0.176,0.937,1.048,1.013,0.648,0.462,0.634,0.0,0.716,0.885,1.0,1.337,0.892,1.077,4.25,1.107,0.861,0.972,0.681,1.02,1.452,1.018,0.0,left
